navbar,category,name,directory,kilometers,price,stock,available
水果類,乾果類,紅棗23尺高-300,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高-300.jpg,0,0,0,0
水果類,乾果類,大果無花果-12尺高-150,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/大果無花果-12尺高-150.jpg,0,0,0,0
水果類,乾果類,紅棗23尺高牌子,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高牌子.jpg,0,0,0,0
水果類,乾果類,板栗-約1尺高-300_FRB46iH,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/板栗-約1尺高-300_FRB46iH.jpg,0,0,0,0
水果類,乾果類,紅棗15公分高-牌子_2lOpXAc,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗15公分高-牌子_2lOpXAc.jpg,0,0,0,0
水果類,乾果類,紅棗23尺高-300_1qYEJUJ,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高-300_1qYEJUJ.jpg,0,0,0,0
水果類,乾果類,板栗近拍,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/板栗近拍.jpg,0,0,0,0
水果類,乾果類,咖啡樹苗-約3尺高-100,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/咖啡樹苗-約3尺高-100.jpg,0,0,0,0
水果類,乾果類,黑棗近拍,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/黑棗近拍.jpg,0,0,0,0
水果類,乾果類,黑棗-15公分高-100,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/黑棗-15公分高-100.jpg,0,0,0,0
水果類,乾果類,紅棗果實_L49xwAj,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗果實_L49xwAj.jpg,0,0,0,0
水果類,乾果類,咖啡樹苗-約3尺高-100_DjgIHty,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/咖啡樹苗-約3尺高-100_DjgIHty.jpg,0,0,0,0
水果類,乾果類,紅棗2~3尺高-300,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗2~3尺高-300.jpg,0,0,0,0
水果類,乾果類,紅棗23尺高-300_lPJvCjP,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高-300_lPJvCjP.jpg,0,0,0,0
水果類,乾果類,紅棗23尺高-300_ueD1qKe,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高-300_ueD1qKe.jpg,0,0,0,0
水果類,乾果類,紅棗15公分高-100,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗15公分高-100.jpg,0,0,0,0
水果類,乾果類,紅棗23尺高-300_cvSMcTy,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高-300_cvSMcTy.jpg,0,0,0,0
水果類,乾果類,紅棗23尺高-300_dwFHOzB,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高-300_dwFHOzB.jpg,0,0,0,0
水果類,乾果類,咖啡樹苗近拍,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/咖啡樹苗近拍.jpg,0,0,0,0
水果類,乾果類,板栗-約1尺高-300,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/板栗-約1尺高-300.jpg,0,0,0,0
水果類,乾果類,紅棗15公分高-牌子,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗15公分高-牌子.jpg,0,0,0,0
水果類,乾果類,黑棗近拍_bbIcRqK,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/黑棗近拍_bbIcRqK.jpg,0,0,0,0
水果類,乾果類,紅棗果實,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗果實.jpg,0,0,0,0
水果類,乾果類,紅棗15公分高-100_Dq7zAD0,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗15公分高-100_Dq7zAD0.jpg,0,0,0,0
水果類,乾果類,紅棗23尺高-300_W9P6vZH,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗23尺高-300_W9P6vZH.jpg,0,0,0,0
水果類,乾果類,大果無花果-1~2尺高-150,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/大果無花果-1~2尺高-150.jpg,0,0,0,0
水果類,乾果類,板栗近拍_yvacs9k,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/板栗近拍_yvacs9k.jpg,0,0,0,0
水果類,乾果類,黑棗-15公分高-100_wsPMhyZ,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/黑棗-15公分高-100_wsPMhyZ.jpg,0,0,0,0
水果類,乾果類,咖啡樹苗近拍_PxspYk8,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/咖啡樹苗近拍_PxspYk8.jpg,0,0,0,0
水果類,乾果類,紅棗2~3尺高牌子,/home/ethan/Desktop/django-shop-tutorial _modifcation_2/media/植物照片/水果類/乾果類/紅棗2~3尺高牌子.jpg,0,0,0,0
